,Plant_ID,Plant_Name,LAT,LON,Plant_Fueltype,CO2EQ_2023,Plant_Nameplate_Capacity,Cap_Factor
9606,2876,Kyger Creek,38.9144,-82.1289,COAL,5375819.33,1086.5,0.4793
9615,2832,Miami Fort Power Station,39.1128,-84.8036,COAL,3154758.21,1180.8,0.26891
9616,57822,"Middletown Coke Company, LLC",39.472222,-84.401389,COAL,92431.69,67.0,0.56743
9649,2936,Painesville,41.7265,-81.254,COAL,1454.14,55.5,0.00154
9689,2866,W H Sammis,40.5317,-80.6319,COAL,1188610.78,1706.5,0.05995
9759,6772,Hugo,34.0158,-95.3206,COAL,840606.6,446.0,0.1626
9801,10671,River Valley,35.1931,-94.6458,COAL,763148.26,350.0,0.18079
9816,6095,Sooner,36.45307,-97.05279,COAL,1168960.99,1138.0,0.09911
10141,10143,Colver Green Energy,40.55108,-78.79794,COAL,992985.15,118.0,0.67944
10142,3118,Conemaugh,40.3842,-79.0611,COAL,3093795.32,1963.0,0.16628
10156,10603,Ebensburg Power Company,40.455,-78.7472,COAL,438093.19,57.6,0.56507
10168,10343,Foster Wheeler Mt Carmel Cogen,40.811189,-76.452951,COAL,159093.04,47.3,0.25032
10175,10113,Gilberton Power Company,40.7903,-76.1983,COAL,880494.75,88.4,0.80587
10197,3122,Homer City,40.512825,-79.196107,COAL,1268873.71,2012.0,0.05757
10209,3136,Keystone,40.6604,-79.3411,COAL,3063755.97,1883.2,0.16752
10258,50888,Northampton Generating Plant,40.6917,-75.4792,COAL,668269.69,134.1,0.43322
10272,50776,Panther Creek Energy Facility,40.8556,-75.8781,COAL,5407.03,94.0,0.57866
10291,50611,"Rausch Creek Generation, LLC",40.6191,-76.45,COAL,388365.27,36.0,0.49565
10302,50974,Scrubgrass Generating Plant,41.2691,-79.8134,COAL,496898.68,94.7,0.34674
10304,3130,Seward,40.40625,-79.03366,COAL,2506754.68,585.0,0.39647
10314,54634,St. Nicholas Cogeneration Project,40.8222,-76.1736,COAL,1153287.37,99.2,0.74465
10331,50729,US Steel (Clairton Coke),40.3097,-79.8819,COAL,36.54,31.0,0.40274
10354,61082,AES Puerto Rico,17.947115,-66.1499,COAL,2999774.06,510.0,0.59357
10566,130,Cross,33.371506,-80.113235,COAL,9377460.91,2390.1,0.40355
10700,3297,Wateree,33.8264,-80.6228,COAL,1805156.5,771.8,0.25795
10708,3298,Williams,33.0158,-79.9297,COAL,2226789.52,659.7,0.34505
10710,6249,Winyah,33.33184,-79.357236,COAL,3200818.02,1260.0,0.23979
10721,6098,Big Stone,45.303652,-96.510067,COAL,1752342.38,451.0,0.39654
10773,3396,Bull Run,36.0211,-84.1567,COAL,908377.96,950.0,0.09076
10782,3399,Cumberland,36.3903,-87.6539,COAL,10396005.38,2600.0,0.37845
10790,3403,Gallatin,36.3156,-86.4006,COAL,4632959.9,1918.4,0.22316
10798,3407,Kingston,35.8992,-84.5194,COAL,3223860.48,1700.0,0.16197
10980,6178,Coleto Creek,28.7128,-97.214167,COAL,3035929.41,622.4,0.48791
11102,7902,H W Pirkey Power Plant,32.4607,-94.4852,COAL,1023139.66,721.0,0.13802
11142,6193,Harrington Station,35.29816,-101.747187,COAL,3828745.82,1080.0,0.33943
11175,7097,J K Spruce,29.309722,-98.3203,COAL,6185694.81,1488.5,0.38943
11177,6181,J T Deely,29.308056,-98.3228,COAL,,932.0,
11214,298,Limestone,31.4219,-96.2525,COAL,7295465.9,1849.8,0.37393
11247,6146,Martin Lake,32.2606,-94.5706,COAL,14100303.88,2379.6,0.54315
11302,6180,Oak Grove,31.1803,-96.4866,COAL,13535141.98,1795.4,0.76373
11415,6179,Sam Seymour,29.9172,-96.7506,COAL,9314911.04,1690.0,0.51642
11420,6183,San Miguel,28.7044,-98.4775,COAL,1987249.5,410.0,0.38537
11424,56611,Sandy Creek Energy Station,31.474378,-96.957149,COAL,3806714.02,1008.0,0.37318
11515,6194,Tolk Station,34.186494,-102.56999,COAL,3126337.82,1135.8,0.27213
11527,7030,Twin Oaks,31.091925,-96.69503,COAL,2952485.59,349.2,0.75823
11547,3470,W A Parish,29.4828,-95.6311,COAL,11003733.4,4008.4,0.30596
11642,6139,Welsh Power Plant,33.05522,-94.839993,COAL,4405532.22,1116.0,0.36613
11684,7790,Bonanza,40.0864,-109.2844,COAL,3891811.42,512.0,0.70477
11720,6165,Hunter,39.1747,-111.0289,COAL,4948983.03,1472.2,0.2787
11722,8069,Huntington,39.3792,-111.0781,COAL,4087237.1,1015.5,0.3823
11727,6481,Intermountain,39.509731,-112.58018,COAL,4862988.35,1640.0,0.30967
11776,50951,Sunnyside Cogeneration Associates,39.5472,-110.3917,COAL,3060.81,58.1,0.62187
11832,7213,Clover Power Station,36.869,-78.704,COAL,309351.42,848.0,0.03338
11994,56808,Virginia City Hybrid Energy Center,36.916389,-82.338055,COAL,811602.4,668.0,0.12874
12144,3845,Centralia,46.755938,-122.859764,COAL,4999334.62,729.9,0.64802
12317,8023,Columbia,43.4864,-89.4203,COAL,5103792.91,1112.0,0.43235
12339,4050,Edgewater (4050),43.715142,-87.705863,COAL,2305357.54,413.7,0.53477
12341,56068,Elm Road Generating Station,42.8492,-87.8336,COAL,6492883.38,1402.6,0.54245
12375,4271,J P Madgett,44.303583,-91.912647,COAL,1706754.94,387.0,0.3685
12459,4041,South Oak Creek,42.8457,-87.8294,COAL,4363436.71,1240.0,0.32974
12492,4078,Weston,44.8606,-89.6553,COAL,3289059.37,1103.4,0.35498
12516,3943,Fort Martin Power Station,39.710833,-79.9275,COAL,4510742.65,1152.0,0.43282
12519,10151,Grant Town Power Plant,39.561831,-80.163138,COAL,805471.92,95.7,0.71416
12520,3944,Harrison Power Station,39.384167,-80.3325,COAL,12317582.32,2052.0,0.62266
12522,3935,John E Amos,38.4731,-81.8233,COAL,9628951.31,2932.6,0.33205
12525,56671,Longview Power,39.707893,-79.958974,COAL,3856102.86,807.5,0.55432
12528,3948,Mitchell (WV),39.8297,-80.8153,COAL,3937403.21,1632.6,0.23265
12530,3954,Mount Storm Power Station,39.2008,-79.2636,COAL,3922012.64,1680.9,0.23901
12531,6264,Mountaineer (1301),38.9794,-81.9344,COAL,5342170.86,1300.0,0.43631
12539,6004,Pleasants Power Station,39.366667,-81.294444,COAL,5047307.23,1368.0,0.38244
12556,4158,Dave Johnston,42.8378,-105.7769,COAL,4591277.82,816.7,0.49444
12557,56609,Dry Fork Station,44.388889,-105.460833,COAL,3131966.85,483.7,0.67341
12568,54318,General Chemical,41.5933,-109.7542,COAL,117566.51,30.0,0.85233
12569,57915,Genesis Alkali,41.621667,-109.811944,COAL,146863.33,41.0,0.73606
12577,8066,Jim Bridger,41.7378,-108.7875,COAL,9887874.9,2326.0,0.40833
12580,6204,Laramie River,42.108889,-104.8825,COAL,12088731.31,1863.0,0.57996
12585,4162,Naughton,41.7581,-110.5983,COAL,2919541.14,707.2,0.4466
12586,7504,Neil Simpson II,44.2856,-105.3833,COAL,920410.14,130.0,0.60215
12608,55479,Wygen I,44.2858,-105.3833,COAL,880401.89,90.0,0.81588
12609,56319,Wygen II,44.2919,-105.3811,COAL,893501.02,95.0,0.79713
12610,56596,Wygen III,44.2919,-105.3806,COAL,964009.51,116.0,0.78207
12611,6101,Wyodak,44.290128,-105.381482,COAL,2459403.76,362.1,0.56005
