Plant_ID,Plant_Name,State,Coal TCO (mil$),Solar TCO (mil$),PV Gain (mil$),CO2 Avoided (tons/year),Solar MW Required,LAT,LON
2364,Merrimack,NH,618.7338159481558,96.41224919350955,522.3215667546463,187469.564,73.844464,43.1411,-71.4692
2442,Four Corners Steam Elec Station,NM,11376.456817949804,4432.447955123169,6944.008862826635,7912301.685,3394.918656,36.69,-108.4814
8224,North Valmy,NV,2044.2017387581864,585.2967509959319,1458.9049877622544,1361146.733,448.29288,40.881317,-117.151605
56224,TS Power Plant,NV,1701.4451828573633,647.2972557024414,1054.147927154922,1199786.185,495.78056,40.7461,-116.5297
2828,Cardinal,OH,14528.989615117536,5770.797779281893,8758.191835835643,10197585.618,4419.993024,40.2522,-80.6486
54207,Clevelandcliffs Warren,OH,43.102588903526105,28.334661816319535,14.76792708720657,13444.269,21.7022,41.2119,-80.8176
2914,Dover,OH,,,,,,40.520066,-81.46815
8102,Gen J M Gavin,OH,20756.944944608636,8066.365975130123,12690.578969478513,14807112.823,6178.224,38.9347,-82.1158
56848,Haverhill North Cogeneration Facility,OH,296.34815906567275,210.7052678015938,85.64289126407894,98670.239,161.38424,38.596657,-82.828642
2876,Kyger Creek,OH,7487.812241199173,2719.6400186898213,4768.172222509351,5375819.33,2083.0378,38.9144,-82.1289
2832,Miami Fort Power Station,OH,4863.7962844976,1658.2788457904683,3205.517438707132,3154758.214,1270.1157119999998,39.1128,-84.8036
57822,"Middletown Coke Company, LLC",OH,281.7889108009936,198.5460993534464,83.24281144754721,92431.689,152.07124,39.472222,-84.401389
2936,Painesville,OH,44.71914596444033,0.4463627734406338,44.2727831909997,1454.135,0.34187999999999996,41.7265,-81.254
2866,W H Sammis,OH,2744.361555931082,534.2810163676454,2210.0805395634366,1188610.779,409.2187,40.5317,-80.6319
6772,Hugo,OK,1350.077162788911,378.72996121218415,971.3472015767268,840606.601,290.0784,34.0158,-95.3206
10671,River Valley,OK,1172.8201717386619,330.4583366516469,842.3618350870149,763148.262,253.106,35.1931,-94.6458
6095,Sooner,OK,2327.377226850957,589.025371163543,1738.351855687414,1168960.994,451.14872,36.45307,-97.05279
10143,Colver Green Energy,PA,1255.175750658644,418.70426218330994,836.4714884753339,992985.147,320.69568000000004,40.55108,-78.79794
3118,Conemaugh,PA,5455.239035886871,1704.6474723600318,3750.591563526839,3093795.32,1305.63056,40.3842,-79.0611
10603,Ebensburg Power Company,PA,546.8548766542096,169.98045903304657,376.87441762116305,438093.189,130.192128,40.455,-78.7472
10343,Foster Wheeler Mt Carmel Cogen,PA,219.1788322298079,61.83451436614358,157.34431786366434,159093.04,47.360544,40.811189,-76.452951
10113,Gilberton Power Company,PA,1100.9511049815615,372.04161169722903,728.9094932843325,880494.753,284.95563200000004,40.7903,-76.1983
3122,Homer City,PA,3103.8757442542396,604.9207323313248,2498.9550119229148,1268873.707,463.32336000000004,40.512825,-79.196107
3136,Keystone,PA,5324.202871755697,1647.5453329884012,3676.6575387672956,3063755.968,1261.894656,40.6604,-79.3411
50888,Northampton Generating Plant,PA,903.6760055050006,303.39717963267196,600.2788258723286,668269.688,232.37920799999998,40.6917,-75.4792
50776,Panther Creek Energy Facility,PA,293.80193627256904,284.0701363407133,9.731799931855733,5407.034,217.57616,40.8556,-75.8781
50611,"Rausch Creek Generation, LLC",PA,429.3252673645311,93.18625847210251,336.1390088924286,388365.267,71.3736,40.6191,-76.45
50974,Scrubgrass Generating Plant,PA,626.8742330475347,171.4858092611169,455.38842378641783,496898.681,131.345112,41.2691,-79.8134
3130,Seward,PA,3509.2002652878127,1211.2686034844357,2297.931661803377,2506754.685,927.7398,40.40625,-79.03366
54634,St. Nicholas Cogeneration Project,PA,1351.9041430882476,385.7785970850912,966.1255460031564,1153287.371,295.47712,40.8222,-76.1736
50729,US Steel (Clairton Coke),PA,73.73676140053689,65.20197080425773,8.534790596279166,36.541,49.93976,40.3097,-79.8819
61082,AES Puerto Rico,PR,4151.6494583675785,1580.9436203333346,2570.705838034244,2999774.055,1210.8828,17.947115,-66.1499
130,Cross,SC,13669.231385855093,5037.182512346147,8632.048873508946,9377460.915,3858.0994200000005,33.371506,-80.113235
3297,Wateree,SC,2926.9266978134146,1039.715623075641,1887.2110747377737,1805156.496,796.34324,33.8264,-80.6228
3298,Williams,SC,3311.950999014657,1188.7835292086486,2123.1674698060087,2226789.517,910.5179400000002,33.0158,-79.9297
6249,Winyah,SC,4903.386282895313,1577.8869205404849,3325.4993623548285,3200818.02,1208.5416,33.33184,-79.357236
6098,Big Stone,SD,2552.1721613127206,933.9804969608888,1618.1916643518318,1752342.376,715.35816,45.303652,-96.510067
3396,Bull Run,TN,1853.964810499591,450.2900555937561,1403.674754905835,908377.961,344.888,36.0211,-84.1567
3399,Cumberland,TN,14776.289493828486,5138.733803467652,9637.555690360834,10396005.377,3935.8800000000006,36.3903,-87.6539
3403,Gallatin,TN,7134.280010596666,2235.783680986417,4898.496329610249,4632959.899,1712.440576,36.3156,-86.4006
3407,Kingston,TN,5158.586719131628,1437.996294654324,3720.5904244773046,3223860.484,1101.396,35.8992,-84.5194
6178,Coleto Creek,TX,4273.577740257689,1585.9283649857825,2687.649375271906,3035929.41,1214.700736,28.7128,-97.214167
7902,H W Pirkey Power Plant,TX,1826.4082440945515,519.6986051595787,1306.7096389349726,1023139.659,398.04968,32.4607,-94.4852
6193,Harrington Station,TX,5553.823351712775,1914.4685794322065,3639.354772280568,3828745.824,1466.3376,35.29816,-101.747187
7097,J K Spruce,TX,8723.450423444589,3027.2794098581685,5696.17101358642,6185694.81,2318.66622,29.309722,-98.3203
6181,J T Deely,TX,,,,,,29.308056,-98.3228
298,Limestone,TX,10393.69509964633,3612.346054499114,6781.349045147215,7295465.901,2766.782856,31.4219,-96.2525
6146,Martin Lake,TX,18982.619444891716,6749.910393848474,12232.709051043243,14100303.882,5169.91896,32.2606,-94.5706
6180,Oak Grove,TX,18360.422889231304,7161.027387144641,11199.395502086663,13535141.984,5484.803368000001,31.1803,-96.4866
6179,Sam Seymour,TX,12707.133250949708,4557.8919064906795,8149.241344459028,9314911.037,3490.9991999999997,29.9172,-96.7506
6183,San Miguel,TX,2637.3745525770496,825.155926293845,1812.2186262832047,1987249.502,632.0068,28.7044,-98.4775
56611,Sandy Creek Energy Station,TX,5517.178885458621,1964.5050786347997,3552.6738068238215,3806714.023,1504.66176,31.474378,-96.957149
6194,Tolk Station,TX,4771.084060477475,1614.1821832811834,3156.9018771962915,3126337.82,1236.3410159999999,34.186494,-102.56999
7030,Twin Oaks,TX,3835.638622168917,1382.7684506902704,2452.8701714786466,2952485.586,1059.095664,31.091925,-96.69503
3470,W A Parish,TX,17351.500974312756,6404.864836112616,10946.63613820014,11003733.403,4905.640256000001,29.4828,-95.6311
6139,Welsh Power Plant,TX,6239.5182335334075,2133.8985761043446,4105.6196574290625,4405532.218,1634.40432,33.05522,-94.839993
7790,Bonanza,UT,5143.138479522366,1884.4804378253282,3258.6580416970373,3891811.415,1443.36896,40.0864,-109.2844
6165,Hunter,UT,6985.561466473184,2142.782276342896,4842.779190130288,4948983.027,1641.20856,39.1747,-111.0289
8069,Huntington,UT,5809.613092052431,2027.4889183899938,3782.124173662437,4087237.098,1552.9026,39.3792,-111.0781
6481,Intermountain,UT,7430.465795277378,2652.267023332539,4778.198771944839,4862988.351,2031.4352,39.509731,-112.58018
50951,Sunnyside Cogeneration Associates,UT,191.33067625137068,188.69048556364234,2.640190687728335,3060.814,144.522588,39.5472,-110.3917
7213,Clover Power Station,VA,1034.8684544199102,147.8279137952054,887.0405406247048,309351.421,113.22496,36.869,-78.704
