Plant_ID,Plant_Name,Plant_Nameplate_Capacity,Cap_Factor,CO2EQ_2023,State_x,LAT,LON,Annual_MWh,CO2_Intensity,PV Gain (mil$),State_y
54867,Neenah Paper Munising Mill,6.2,0.0,0.0,Michigan,46.4094,-86.6443,0.0,,4.819498190874532,MI
50835,TES Filer City Station,70.0,0.51817,2818.448,Michigan,44.217299,-86.28905,317741.84400000004,0.008870244990458354,11.507874113669745,MI
1915,Allen S King,598.4,0.17711,1097918.874,Minnesota,45.03,-92.7786,928407.7862399999,1.1825825787680118,1266.9526587705525,MN
54212,American Crystal Sugar Crookston,6.5,0.82239,28700.882,Minnesota,47.76468,-96.633375,46826.8866,0.6129145899697718,22.796286951742033,MN
54214,American Crystal Sugar East Grand Forks,7.5,0.43379,17468.451,Minnesota,47.927202,-97.007153,28500.003,0.6129280407444168,16.629550973111982,MN
54211,American Crystal Sugar Moorhead,5.0,0.90929,24410.558,Minnesota,46.9026,-96.76112,39826.902,0.6129163147060748,18.97791207224064,MN
10863,Archer Daniels Midland Mankato,6.1,0.16865,5657.199,Minnesota,44.187066,-93.99242,9011.981399999999,0.6277419747004804,8.270267791923766,MN
1893,Boswell Energy Center,923.3,0.6234,5726991.063,Minnesota,47.2611,-93.6528,5042126.527199999,1.1358285104718149,4871.62794437531,MN
6090,Sherburne County,2469.3,0.31013,7555262.856,Minnesota,45.3808,-93.8931,6708443.118840001,1.126231932232054,7391.3971008588705,MN
54533,Southern Minnesota Beet Sugar,7.5,0.45764,18165.733,Minnesota,44.796405,-95.179787,30066.948,0.6041761538284498,16.99941845469671,MN
10075,Taconite Harbor Energy Center,168.0,0.0,0.0,Minnesota,47.5314,-90.9114,0.0,,130.59285420434216,MN
2079,Hawthorn,1046.2,0.25746,2691083.717,Missouri,39.1306,-94.4778,2359546.7515200004,1.1405087503633595,2766.539360497045,MO
6065,Iatan,1753.9,0.31644,5153335.37,Missouri,39.4472,-94.98,4861836.05616,1.059956631707206,5054.895087159626,MO
6195,John Twitty Energy Center,603.0,0.36798,2114646.229,Missouri,37.151706,-93.38804,1943773.3943999999,1.0879077957812797,1990.841277114364,MO
2103,Labadie,2389.4,0.75402,16968046.544,Missouri,38.562244,-90.837686,15782501.198880002,1.075117709809148,14044.387128333738,MO
2167,New Madrid Power Plant,1300.0,0.41366,4785414.649,Missouri,36.5147,-89.5617,4710760.08,1.015847669533618,4410.555624412331,MO
6155,Rush Island,1242.0,0.0707,868808.287,Missouri,38.131248,-90.263157,769210.3439999999,1.1294807639768298,1595.0069598589323,MO
6768,Sikeston,261.0,0.59455,1615317.416,Missouri,36.8791,-89.6209,1359355.338,1.188296665959758,1383.4634165506402,MO
2107,Sioux,1099.4,0.31675,3558512.026,Missouri,38.915479,-90.290247,3050538.162,1.1665194260893825,3447.424772923113,MO
2168,Thomas Hill Energy Center,1181.7,0.57359,6580216.009,Missouri,39.5522,-92.6381,5937627.014280001,1.1082231998026437,5670.779165004404,MO
55076,Red Hills Generation Facility,513.7,0.56573,3476017.918,Mississippi,33.3761,-89.2183,2545791.78876,1.365397568389948,2993.9145412488588,MS
6076,Colstrip,1647.4,0.74979,12086526.431,Montana,45.8831,-106.614,10820387.44296,1.1170142007127277,10021.653028545648,MT
10784,Colstrip Energy LP,46.1,0.75815,450746.741,Montana,45.9752,-106.6547,306168.2634,1.472219020986876,375.7003557083633,MT
55749,Hardin Generating Station,115.7,0.42959,726825.097,Montana,45.7578,-107.6,435403.21188,1.6693149640805078,646.2785133920169,MT
62319,Western Sugar Cooperative - Billings,1.5,0.43836,3633.187,Montana,45.765346,-108.499232,5760.0504,0.6307561128284571,3.4360393799707705,MT
2718,G G Allen,435.2,0.02118,155445.987,North Carolina,35.1897,-81.0122,80745.61536000001,1.9251322354403069,459.0464363742941,NC
2727,Marshall,2119.0,0.37169,5678112.534,North Carolina,35.5975,-80.9658,6899473.323600001,0.8229776778145842,5494.681038200648,NC
6250,Mayo,763.2,0.18203,1507695.568,North Carolina,36.5278,-78.8917,1216985.59296,1.2388770883745006,1702.5716988725708,NC
2712,Roxboro,2558.2,0.18031,4540778.609,North Carolina,36.4833,-79.0731,4040716.8079199996,1.1237557158422622,5275.989078718104,NC
54213,American Crystal Sugar Drayton,6.0,0.81366,26211.978,North Dakota,48.593158,-97.17608,42765.969600000004,0.6129167243293367,20.868937648687915,ND
54210,American Crystal Sugar Hillsboro,13.3,0.7883,56641.569,North Dakota,47.437562,-97.06311,91843.25640000001,0.6167199555001841,45.43710696383935,ND
6469,Antelope Valley,954.0,0.59047,5940377.656,North Dakota,47.370542,-101.83566,4934581.4088,1.2038260520753252,5092.3865231521495,ND
6030,Coal Creek,1215.6,0.673,7301416.93,North Dakota,47.377743,-101.157058,7166545.488,1.0188195891906129,6135.545985811822,ND
8222,Coyote,450.0,0.65409,3234081.518,North Dakota,47.221447,-101.815722,2578422.78,1.2542867457911617,2733.893452122037,ND
2817,Leland Olds,656.0,0.56662,4172102.431,North Dakota,47.280769,-101.321213,3256115.8272,1.2813126597488624,3595.516127207254,ND
2823,Milton R Young,734.0,0.70047,5505574.162,North Dakota,47.065854,-101.213093,4503910.024800001,1.2223987894261894,4612.824119569163,ND
57046,Archer Daniels Midland Columbus,71.4,0.46204,246330.656,Nebraska,41.416442,-97.286328,288989.38656,0.8523865147167153,223.88855466093344,NE
